Time,Small_count,Small_min,Small_q1,Small_median,Small_q3,Small_max,Small_avg,Small_stddev,Large_count,Large_min,Large_q1,Large_median,Large_q3,Large_max,Large_avg,Large_stddev,Big_count,Big_min,Big_q1,Big_median,Big_q3,Big_max,Big_avg,Big_stddev
2014-03-02 20:48:55 +0100,40,11.0,12.0,12.0,12.0,13.0,12.0,0.72,40,14.0,15.0,18.0,22.0,28.0,18.83,4.51,40,26.0,29.0,32.0,34.0,45.01,31.58,3.74
2014-03-02 21:19:07 +0100,40,11.0,12.0,12.0,12.0,13.0,11.98,0.66,40,15.0,18.0,26.0,28.0,38.0,24.45,6.13,40,20.0,26.0,27.0,31.0,40.0,27.83,4.74
2014-03-02 21:48:57 +0100,40,9.0,11.75,12.0,12.0,13.0,11.8,0.74,40,14.0,15.75,18.0,24.0,32.0,19.53,4.81,40,24.0,26.0,27.5,30.0,37.0,28.63,3.16
2014-03-02 22:19:09 +0100,40,11.0,12.0,12.0,12.0,12.0,11.9,0.59,40,15.0,18.75,24.5,28.0,46.01,24.28,6.2,40,20.0,26.0,27.0,32.25,49.01,29.7,6.65
2014-03-02 22:48:58 +0100,40,11.0,12.0,12.0,12.0,20.0,12.35,1.88,40,14.0,17.0,18.0,21.0,27.0,18.8,3.56,40,20.0,26.0,27.0,31.0,40.0,28.55,3.74
2014-03-02 23:18:50 +0100,40,11.0,11.0,11.0,11.0,12.0,11.08,0.59,40,14.0,15.75,18.0,21.0,30.0,18.8,3.89,40,21.0,27.0,29.0,31.0,44.01,29.0,4.01
2014-03-02 23:49:03 +0100,40,11.0,12.0,12.0,12.0,19.0,12.3,1.57,40,14.0,18.0,19.0,25.0,30.0,21.05,4.28,40,20.0,25.75,27.5,30.0,39.0,27.73,4.34
2014-03-03 00:48:57 +0100,40,11.0,11.0,11.0,12.0,13.0,11.43,0.76,40,14.0,17.5,23.0,24.0,35.0,21.73,5.39,40,23.0,26.0,29.0,32.0,44.01,29.4,3.95
2014-03-03 01:31:02 +0100,40,11.0,11.0,11.0,11.0,12.0,11.2,0.67,40,14.0,23.75,25.5,28.0,40.0,25.48,5.78,40,21.0,31.0,33.0,38.0,54.2,34.48,6.39
2014-03-03 01:48:52 +0100,40,11.03,11.03,12.03,12.03,13.03,11.63,0.76,40,17.02,18.02,18.02,23.27,25.05,20.12,3.06,40,20.02,31.03,32.03,33.28,44.04,32.28,4.41
2014-03-03 02:19:20 +0100,40,9.0,11.0,12.0,12.0,13.0,11.65,0.74,40,14.0,23.75,27.0,30.0,43.01,26.03,6.1,40,20.0,27.0,29.5,32.0,41.01,30.23,4.13
2014-03-03 02:49:19 +0100,40,11.0,11.0,12.0,12.0,13.0,11.73,0.76,40,14.0,19.5,26.0,28.0,35.0,24.6,5.41,40,19.0,25.0,26.0,28.25,43.0,26.8,4.55
2014-03-03 03:18:49 +0100,40,11.0,11.0,11.0,11.0,13.0,11.08,0.64,40,14.16,24.28,27.32,30.35,37.43,27.34,4.95,40,19.22,27.32,32.13,37.65,40.17,32.37,4.95
2014-03-03 03:49:00 +0100,40,11.0,11.0,12.0,12.0,13.0,11.7,0.77,40,19.0,26.75,27.0,28.0,39.0,27.98,3.38,40,24.0,26.0,27.0,30.0,41.0,28.33,3.45
2014-03-03 04:18:52 +0100,40,11.0,11.0,11.0,12.0,13.0,11.5,0.76,40,14.0,17.75,18.0,24.0,30.0,20.0,4.31,40,20.0,29.75,32.0,33.0,44.0,31.73,4.9
2014-03-03 04:49:03 +0100,40,11.0,11.0,11.0,11.0,12.0,11.15,0.64,40,13.0,17.0,18.0,26.25,35.0,21.3,5.69,40,19.0,25.0,26.0,28.25,35.0,26.03,3.65
2014-03-03 05:18:54 +0100,40,11.0,12.0,12.0,12.0,12.0,11.98,0.53,40,14.0,17.75,22.5,26.25,31.0,21.63,4.93,40,19.0,27.0,31.5,33.0,45.01,30.95,5.01
2014-03-03 05:48:47 +0100,40,11.0,11.0,11.0,12.0,12.0,11.33,0.71,40,14.0,15.75,18.0,21.25,28.0,18.95,4.31,40,20.0,26.0,27.0,30.25,40.0,27.95,4.68
2014-03-03 06:19:26 +0100,40,11.0,11.0,11.0,11.25,12.0,11.25,0.69,40,14.0,17.0,23.0,24.25,36.0,21.93,5.05,40,19.0,26.75,31.0,33.0,40.0,30.38,4.97
2014-03-03 06:49:08 +0100,40,11.0,11.0,12.0,12.0,22.0,12.13,2.16,40,14.0,20.5,25.5,27.25,37.0,24.4,5.14,40,19.0,30.0,33.5,40.0,49.01,34.3,6.29
