Time,Small_count,Small_min,Small_q1,Small_median,Small_q3,Small_max,Small_avg,Small_stddev,Large_count,Large_min,Large_q1,Large_median,Large_q3,Large_max,Large_avg,Large_stddev,Big_count,Big_min,Big_q1,Big_median,Big_q3,Big_max,Big_avg,Big_stddev
2014-03-02 01:48:40 +0100,40,9.0,11.0,11.0,11.0,13.0,11.08,0.63,40,14.0,18.0,25.5,27.0,39.0,23.8,5.53,40,19.0,29.5,34.5,40.25,49.01,34.55,7.09
2014-03-02 02:19:07 +0100,40,11.0,11.0,11.0,11.0,19.0,11.43,1.84,40,14.0,17.75,24.0,31.0,48.01,24.7,8.29,40,19.0,27.75,32.0,36.25,48.01,32.98,6.49
2014-03-02 02:49:00 +0100,40,11.0,11.0,11.0,11.0,12.0,11.03,0.55,40,13.0,14.0,15.0,17.25,31.0,16.65,3.79,40,16.0,18.75,25.0,29.25,37.0,24.18,6.01
2014-03-02 03:18:55 +0100,40,11.0,11.0,11.0,11.0,12.0,11.1,0.61,40,14.0,19.75,26.5,33.0,39.0,26.08,7.12,40,18.0,26.0,31.0,32.0,40.0,29.93,4.77
2014-03-02 03:48:46 +0100,40,1.0,11.0,11.0,11.0,12.0,10.78,0.34,40,13.0,16.5,17.0,18.0,29.0,17.68,3.2,40,16.0,22.0,22.0,26.75,38.0,23.5,4.88
2014-03-02 04:18:37 +0100,40,2.0,11.0,11.0,11.0,13.0,10.9,0.65,40,13.0,17.0,18.5,24.0,30.0,20.05,4.8,40,16.0,21.75,22.0,29.0,41.0,23.8,5.67
2014-03-02 04:48:47 +0100,40,2.0,11.0,11.0,11.0,12.0,11.0,0.53,40,13.0,14.0,18.0,26.0,30.0,19.65,5.78,40,16.0,21.75,27.0,29.0,41.0,25.58,5.88
2014-03-02 05:18:38 +0100,40,8.0,11.0,11.0,11.0,18.0,11.15,1.21,40,12.0,14.0,17.0,17.0,30.0,17.25,3.76,40,16.0,22.0,22.0,29.0,38.0,24.25,4.72
2014-03-02 05:48:55 +0100,40,11.0,11.0,11.0,11.0,12.0,11.03,0.55,40,13.0,17.0,21.0,24.0,37.0,21.25,4.82,40,16.0,22.0,24.0,32.0,46.01,26.98,7.21
2014-03-02 06:18:59 +0100,40,11.0,11.0,11.0,11.0,13.0,11.08,0.64,40,13.0,14.0,17.0,21.0,37.0,18.23,4.97,40,15.0,19.25,25.0,31.0,47.0,25.73,7.49
2014-03-02 06:49:00 +0100,40,11.0,11.0,11.0,11.0,13.0,11.2,0.74,40,13.0,15.75,22.0,24.0,34.0,21.1,5.75,40,16.0,21.75,23.0,29.0,39.0,24.73,5.34
2014-03-02 07:18:41 +0100,40,9.0,11.0,11.0,11.0,19.0,11.28,1.38,40,13.0,18.75,22.0,24.5,35.0,22.23,5.56,40,16.0,22.0,23.0,30.0,46.01,26.13,5.98
2014-03-02 07:48:51 +0100,40,8.0,11.0,11.0,11.0,19.0,11.23,1.38,40,14.0,14.0,17.0,18.0,28.0,17.48,3.86,40,16.0,18.5,22.0,28.0,40.0,23.38,6.08
2014-03-02 08:18:40 +0100,40,9.0,11.0,11.0,11.0,20.0,11.18,1.5,40,13.0,14.0,17.0,18.75,25.0,17.28,3.69,40,16.0,17.75,22.5,26.5,36.0,22.95,5.32
2014-03-02 08:48:50 +0100,40,1.0,11.0,11.0,11.0,13.0,10.9,0.76,40,12.0,16.75,20.0,24.0,32.0,20.53,5.41,40,15.0,21.0,25.5,29.0,40.0,25.2,5.86
2014-03-02 09:18:40 +0100,40,11.0,11.0,11.0,11.0,19.0,11.25,1.38,40,14.0,14.0,17.0,18.0,25.0,17.43,3.51,40,16.0,20.5,23.0,29.0,45.0,24.78,6.56
2014-03-02 09:48:51 +0100,40,11.0,11.0,11.0,12.0,19.0,11.85,1.74,40,14.0,17.0,20.0,26.0,39.0,21.78,5.92,40,16.0,18.5,23.0,29.0,38.0,24.38,6.07
2014-03-02 10:18:41 +0100,40,11.0,11.13,11.13,12.14,19.22,11.95,1.96,40,13.15,16.18,18.2,24.27,32.36,20.28,5.27,40,16.18,29.33,32.36,39.74,81.33,35.39,10.96
2014-03-02 10:48:52 +0100,40,11.0,11.0,11.0,11.0,14.0,11.15,0.75,40,13.0,18.0,21.5,24.25,49.01,22.25,7.39,40,16.0,23.75,28.0,32.0,50.01,28.3,6.29
2014-03-02 11:18:40 +0100,40,1.0,11.0,11.5,12.0,18.0,11.53,1.28,40,13.0,15.75,18.0,23.25,34.0,19.58,5.34,40,16.0,20.75,26.0,31.0,40.0,25.68,5.55
2014-03-02 11:48:51 +0100,40,11.0,11.0,11.0,11.0,12.0,11.18,0.66,40,14.0,17.0,18.0,21.0,34.0,19.4,5.18,40,16.0,24.75,29.5,32.0,41.0,28.63,5.7
2014-03-02 12:18:41 +0100,40,11.0,11.0,12.0,12.0,20.0,12.03,1.93,40,13.0,14.0,17.0,21.75,38.0,19.13,5.72,40,21.0,25.75,32.0,40.0,65.01,34.23,10.54
2014-03-02 12:48:52 +0100,40,11.0,11.0,11.0,11.0,19.0,11.45,1.47,40,14.0,14.75,18.0,24.0,29.0,19.33,4.68,40,16.0,24.5,27.0,32.0,41.0,28.0,5.73
2014-03-02 13:18:41 +0100,40,11.0,11.0,11.0,11.0,15.0,11.3,0.9,40,13.0,19.5,24.0,27.0,35.0,23.45,5.3,40,17.0,26.0,31.0,38.0,50.01,32.55,8.13
2014-03-02 13:48:49 +0100,40,11.0,11.0,11.0,11.25,16.0,11.45,1.18,40,14.0,14.0,17.0,18.0,30.0,17.15,3.63,40,16.0,19.0,23.0,25.25,45.0,23.68,6.4
2014-03-02 14:18:38 +0100,40,11.0,11.0,11.0,11.0,13.0,11.23,0.71,40,14.0,14.75,17.5,18.25,27.0,17.8,3.67,40,16.0,20.0,25.0,29.0,40.0,25.3,6.23
2014-03-02 14:48:51 +0100,40,11.0,11.0,11.0,11.0,13.0,11.13,0.67,40,14.0,14.0,17.0,21.5,34.0,18.4,4.52,40,16.0,18.5,25.0,27.25,41.0,24.25,6.35
2014-03-02 15:18:50 +0100,40,11.0,11.0,11.0,12.0,18.0,12.2,2.42,40,13.0,14.75,18.0,22.25,31.01,18.75,4.43,40,16.0,22.0,24.5,29.26,33.0,24.93,4.59
2014-03-02 15:48:39 +0100,40,11.0,11.0,11.0,11.0,12.0,11.13,0.63,40,13.0,14.75,17.0,19.25,27.0,17.83,3.89,40,16.0,20.75,23.0,29.0,40.0,24.48,5.79
2014-03-02 16:18:52 +0100,40,11.0,11.0,11.0,11.25,17.0,11.53,1.38,40,14.0,17.0,17.0,19.25,39.0,18.68,4.76,40,16.0,19.0,24.0,26.0,38.0,24.18,5.37
2014-03-02 16:48:42 +0100,40,11.0,11.0,11.0,11.0,13.0,11.33,0.84,40,14.0,14.75,17.0,20.25,30.0,18.3,4.44,40,16.0,22.75,26.0,29.0,45.01,25.75,5.25
2014-03-02 17:18:56 +0100,40,11.0,11.0,11.0,11.0,12.0,11.15,0.64,40,14.0,16.75,17.0,18.0,31.0,18.28,3.84,40,16.0,23.0,25.0,26.0,33.0,24.85,3.74
2014-03-02 17:48:48 +0100,40,11.0,11.0,11.0,12.0,19.0,11.85,1.85,40,14.0,15.0,17.0,21.0,37.0,18.68,5.61,40,16.0,23.0,26.0,28.25,38.0,26.08,4.5
2014-03-02 18:19:03 +0100,40,11.0,11.0,11.0,12.0,17.0,11.63,1.36,40,14.0,19.0,24.0,27.25,40.0,24.28,6.23,40,16.0,26.0,30.5,32.0,41.01,29.03,5.29
2014-03-02 18:48:47 +0100,40,11.0,11.0,11.0,11.0,13.0,11.2,0.7,40,14.0,15.0,18.0,18.25,31.0,18.2,4.47,40,17.0,24.0,27.0,31.0,38.0,26.93,5.22
2014-03-02 19:18:57 +0100,40,11.0,11.0,11.0,11.0,13.0,11.2,0.7,40,15.0,19.75,24.0,28.0,36.0,24.1,5.24,40,20.0,26.0,28.5,34.0,47.0,29.85,5.45
2014-03-02 19:48:41 +0100,40,11.0,11.0,11.0,12.0,19.0,12.08,2.07,40,15.0,19.0,24.5,29.0,42.0,24.88,6.02,40,16.0,27.0,31.0,35.0,75.01,33.48,12.3
2014-03-02 20:18:51 +0100,40,11.0,11.0,11.0,11.0,17.0,11.3,1.12,40,14.0,18.0,22.0,26.25,36.0,22.83,5.89,40,22.0,31.0,34.0,40.0,52.01,35.18,5.99
2014-03-02 20:48:45 +0100,40,11.0,11.0,12.0,12.0,21.0,12.3,2.07,40,14.0,17.75,20.5,24.25,34.0,21.6,5.24,40,21.0,33.0,36.0,41.25,58.01,37.1,7.6
2014-03-02 21:18:56 +0100,40,11.0,11.0,11.0,12.0,27.0,12.53,3.07,40,14.0,18.0,19.0,24.0,33.0,20.48,4.38,40,17.0,23.5,27.0,31.0,41.0,27.18,5.96
2014-03-02 21:48:47 +0100,40,11.0,11.0,11.0,12.0,17.0,11.53,1.27,40,14.0,18.0,22.5,27.0,37.0,22.53,5.97,40,16.0,22.0,25.5,31.0,60.01,28.03,8.78
2014-03-02 22:18:58 +0100,40,11.0,11.0,11.0,11.25,13.0,11.3,0.77,40,14.0,14.0,17.0,19.5,28.0,17.93,4.12,40,16.0,18.75,22.0,26.5,39.0,23.18,5.6
2014-03-02 22:48:48 +0100,40,11.0,11.0,11.0,11.0,16.0,11.35,1.11,40,13.0,14.0,17.0,18.25,30.0,17.68,4.31,40,18.0,26.75,31.5,32.0,42.0,29.63,6.0
2014-03-02 23:18:40 +0100,40,11.0,11.0,11.0,11.25,19.0,11.6,1.76,40,12.0,17.75,24.0,25.0,31.0,21.5,4.47,40,16.0,25.0,26.5,31.0,53.01,28.4,6.83
2014-03-02 23:48:53 +0100,40,11.0,11.0,11.0,11.0,12.0,11.13,0.63,40,13.0,14.75,17.0,18.25,29.0,17.83,3.74,40,16.0,23.0,26.0,34.25,42.0,27.55,7.04
2014-03-03 00:48:47 +0100,40,11.0,11.0,11.0,11.25,18.0,11.58,1.65,40,13.0,16.0,22.0,24.0,41.0,20.85,5.54,40,19.0,31.0,35.0,39.0,56.01,35.4,6.71
2014-03-03 01:30:52 +0100,40,8.0,11.0,11.0,11.0,19.0,11.6,1.98,40,13.0,14.0,17.0,17.25,25.0,17.23,3.81,40,16.0,21.0,22.0,27.25,38.0,23.63,5.1
2014-03-03 01:48:42 +0100,40,11.0,11.0,11.0,11.0,18.0,11.4,1.38,40,13.0,14.0,17.0,18.25,29.0,17.65,3.96,40,16.0,22.0,23.0,28.0,40.0,24.13,4.82
2014-03-03 02:19:09 +0100,40,11.0,11.0,11.0,11.0,13.0,11.1,0.65,40,13.0,14.0,17.0,20.0,27.0,17.9,3.97,40,16.0,22.0,27.0,32.25,53.01,28.0,8.12
2014-03-03 02:49:09 +0100,40,11.0,11.0,11.0,11.0,18.0,11.45,1.65,40,13.0,17.0,18.0,23.25,36.0,19.83,5.14,40,16.0,21.0,22.0,26.25,37.0,23.43,4.81
2014-03-03 03:18:39 +0100,40,11.0,11.0,11.0,11.0,12.0,11.03,0.55,40,14.0,18.0,21.5,26.25,35.0,22.53,5.43,40,16.0,26.0,31.5,36.5,52.01,32.5,7.74
2014-03-03 03:48:49 +0100,40,1.0,11.0,11.0,11.0,12.0,10.9,0.47,40,12.0,14.0,15.5,18.0,31.0,16.85,4.29,40,16.0,20.75,22.0,23.0,31.0,22.28,4.26
2014-03-03 04:18:42 +0100,40,11.0,11.0,12.0,14.25,17.0,12.75,2.18,40,13.0,16.0,22.0,26.0,39.0,22.08,7.06,40,19.0,25.0,30.0,32.25,42.0,29.7,5.46
2014-03-03 04:48:53 +0100,40,11.0,11.0,11.0,11.0,18.0,11.2,1.23,40,13.0,15.75,17.5,23.0,34.0,19.13,4.95,40,16.0,26.0,31.0,34.0,47.01,30.78,6.49
2014-03-03 05:18:44 +0100,40,11.0,11.0,11.0,11.0,12.0,11.13,0.63,40,13.0,14.0,14.5,18.5,32.0,17.08,4.43,40,16.0,21.0,24.0,29.0,38.0,24.73,5.32
2014-03-03 05:48:37 +0100,40,2.0,11.02,11.02,11.02,12.02,10.87,0.42,40,13.02,14.78,17.03,18.03,34.07,17.76,4.56,40,16.01,22.02,22.02,26.54,39.07,23.37,5.01
2014-03-03 06:19:16 +0100,40,11.0,11.0,11.0,11.0,14.0,11.1,0.73,40,13.0,15.75,18.5,24.25,31.0,20.3,5.08,40,16.0,16.75,22.0,29.0,41.0,23.65,7.58
2014-03-03 06:48:58 +0100,40,11.0,11.0,11.0,11.0,19.0,11.5,1.86,40,13.0,14.0,17.0,17.0,28.0,17.15,3.51,40,15.0,21.0,22.0,29.0,72.01,25.75,11.25
